,name,variety,description
0,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
1,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
2,Stag's Leap Wine Cellars 2016 Cask 23 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This gorgeous wine combines the best of two historic vineyards—Fay and S.L.V.—into one cohesive, refined whole. A soft entry of woody spice and toasted oak leads the way to an expansive midpalate of currant, crushed rock, dried herb and elegant tannins begging for further time in the bottle. Enjoy 2026–2036. Virginie Boone"
3,Obsidian Ridge 2016 Half-Mile Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"This layered, complex and polished wine is compelling from the first scent of clove, black plum and black cherry to the rich, saturated flavors and the lingering spiced-plum finish. A warm layer of soft tannins envelops the palate as subtle blackberry and dark-chocolate notes emerge with repeated sipping and linger on the finish. Aged for 18 months in all new Hungarian Kadar barrels, it will mature through 2030. Jim Gordon"
4,Chappellet 2015 Pritchard Hill Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This is a powerfully concentrated and constructed wine, with 14% Petit Verdot and 8% Malbec. Dark, inky and reductive, it offers waves of tar, leather and toasted oak within sinewy tannins. Chewy black fruit is structured around wild elements of cedar, dried herb and sage, with lingering notes of clove. This is one to let settle; enjoy best from 2025–2030. Virginie Boone"
5,Diamond Creek 2016 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"From a five-acre section of the vineyard, this classic red is blended with 8% Merlot and 2% Cabernet Franc. Crushed rock, red fruit and warm baking spices combine around a grippy midpalate of leather, clove and tobacco—the power gracefully persistent. The finish is brambly and bright. Allow this youthful wine to age; enjoy best from 2026–2031. Virginie Boone"
6,Arietta 2016 Cabernet Sauvignon (Napa Valley),Napa Valley,"Sourced predominantly from the Coombsville appellation, this is a stunning, beautifully aromatic wine made with 3% Petit Verdot. Winemaker Andy Erickson coaxes clove, red currant and a bite of acidity from soft, seamlessly rounded layers of classic structure and grace. Earthy tones of gravel and dried herb provide contrast to the powerful fruit. Enjoy best from 2026–2030. Virginie Boone"
7,Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,"There's a compelling density of aromas in the way of blackberry, dark cocoa and savory charred meat on the nose of this bottling. The palate is deep and ripe yet balanced by a dry structure, offering flavors of black cherry, black currant, cocoa and espresso bean. Matt Kettmann"
8,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. Virginie Boone"
9,Obsidian Ridge 2016 Estate Grown Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"A deep, dark color and generous black-fruit aromas lead to well-extracted flavors of blackberry, blueberry and black currant on the palate, while a thick blanket of fine-grained tannins wraps it all in. It is huge in structure but matched by luxurious, layered fruit and spice flavors. Best 2023–2033. Jim Gordon"
